Symbol,Side,Type,Qty,Price,Fill Price,Status,Commission,Placing Time,Closing Time,Order id
NSE:ADANIENT,Buy,Market,20,2 426.85,2 426.85,Filled,,2023-07-18 09:53:04,2023-07-18 09:53:04,900618068
NSE:ADANIENT,Sell,Market,20,2 430.85,2 430.85,Filled,,2023-07-18 09:57:46,2023-07-18 09:57:46,900622022
NSE:IGL,Buy,Market,10,493.20,493.20,Filled,,2023-07-18 12:11:17,2023-07-18 12:11:17,900740702
NSE:IGL,Sell,Market,10,492.35,492.35,Filled,,2023-07-18 12:13:01,2023-07-18 12:13:01,900742394
NSE:IGL,Buy,Market,10,494.35,494.35,Filled,,2023-07-18 12:49:12,2023-07-18 12:49:12,900782011
NSE:BAJAJFINSV,Buy,Market,10,1 619.15,1 619.15,Filled,,2023-07-19 09:31:18,2023-07-19 09:31:18,902020740
NSE:MRF,Buy,Market,2,102 480.10,102 480.10,Filled,,2023-07-19 09:32:32,2023-07-19 09:32:32,902021833
NSE:GAIL,Buy,Market,100,109.40,109.40,Filled,,2023-07-19 09:33:22,2023-07-19 09:33:22,902022659
NSE:IGL,Sell,Market,10,495.10,495.10,Filled,,2023-07-19 10:43:30,2023-07-19 10:43:30,902081397
NSE:IGL,Sell,Take Profit,10,510.10,,Cancelled,,2023-07-18 13:01:44,2023-07-19 10:43:30,900795394
NSE:RELIANCE,Sell,Market,20,2 811.50,2 811.50,Filled,,2023-07-19 11:59:21,2023-07-19 11:59:21,902143653
NSE:TATAMOTORS,Buy,Market,40,623.55,623.55,Filled,,2023-07-19 12:03:17,2023-07-19 12:03:17,902147364
NSE:BEL,Buy,Market,10,127.30,127.30,Filled,,2023-07-19 12:04:07,2023-07-19 12:04:07,902147969
NSE:HDFCAMC,Buy,Market,1,2 418.10,2 418.10,Filled,,2023-07-19 12:04:37,2023-07-19 12:04:37,902148366
NSE:HDFCAMC,Buy,Market,1,2 418.10,2 418.10,Filled,,2023-07-19 12:04:38,2023-07-19 12:04:38,902148381
NSE:HDFCAMC,Buy,Market,1,2 418.10,2 418.10,Filled,,2023-07-19 12:04:39,2023-07-19 12:04:39,902148405
NSE:HDFCAMC,Buy,Market,1,2 418.10,2 418.10,Filled,,2023-07-19 12:04:40,2023-07-19 12:04:40,902148422
NSE:HDFCAMC,Buy,Market,1,2 418.70,2 418.70,Filled,,2023-07-19 12:04:44,2023-07-19 12:04:44,902148466
NSE:HDFCAMC,Buy,Market,1,2 418.60,2 418.60,Filled,,2023-07-19 12:04:45,2023-07-19 12:04:45,902148475
NSE:BAJAJFINSV,Sell,Market,10,1 643.65,1 643.65,Filled,,2023-07-20 09:28:45,2023-07-20 09:28:45,903450030
NSE:MRF,Sell,Market,2,102 301.00,102 301.00,Filled,,2023-07-20 09:28:47,2023-07-20 09:28:47,903450039
NSE:TATAMOTORS,Sell,Market,40,619.40,619.40,Filled,,2023-07-20 09:28:47,2023-07-20 09:28:47,903450043
NSE:BEL,Sell,Market,10,126.65,126.65,Filled,,2023-07-20 09:28:47,2023-07-20 09:28:47,903450051
NSE:HDFCAMC,Sell,Market,6,2 422.20,2 422.20,Filled,,2023-07-20 09:28:48,2023-07-20 09:28:48,903450060
NSE:GAIL,Sell,Market,100,110.35,110.35,Filled,,2023-07-20 09:28:54,2023-07-20 09:28:54,903450121
NSE:SUNPHARMA,Buy,Market,1,1 086.70,1 086.70,Filled,,2023-07-20 09:33:27,2023-07-20 09:33:27,903454231
NSE:SUNPHARMA,Buy,Market,1,1 086.50,1 086.50,Filled,,2023-07-20 09:33:28,2023-07-20 09:33:28,903454276
NSE:SUNPHARMA,Buy,Market,1,1 086.50,1 086.50,Filled,,2023-07-20 09:33:30,2023-07-20 09:33:30,903454308
NSE:GAIL,Buy,Market,100,110.85,110.85,Filled,,2023-07-20 09:34:38,2023-07-20 09:34:38,903455327
NSE:RELIANCE,Buy,Take Profit,20,2 787.45,,Cancelled,,2023-07-19 12:22:45,2023-07-20 09:34:48,902166195
NSE:RELIANCE,Buy,Market,20,2 580.00,2 580.00,Filled,,2023-07-20 09:28:54,2023-07-20 09:44:55,903450129
NSE:RELIANCE,Buy,Market,20,2 580.00,2 580.00,Filled,,2023-07-20 09:29:37,2023-07-20 09:44:55,903450664
NSE:RELIANCE,Buy,Market,40,2 580.00,2 580.00,Filled,,2023-07-20 09:29:20,2023-07-20 09:44:55,903450431
NSE:RELIANCE,Buy,Market,20,2 580.00,2 580.00,Filled,,2023-07-20 09:29:17,2023-07-20 09:44:55,903450384
NSE:RELIANCE,Buy,Market,20,2 580.00,2 580.00,Filled,,2023-07-20 09:34:51,2023-07-20 09:44:55,903455497
NSE:RELIANCE,Buy,Market,20,2 580.00,2 580.00,Filled,,2023-07-20 09:24:21,2023-07-20 09:44:55,903446430
NSE:RELIANCE,Buy,Market,20,2 580.00,2 580.00,Filled,,2023-07-20 09:29:28,2023-07-20 09:44:55,903450557
NSE:RELIANCE,Sell,Market,140,2 627.10,2 627.10,Filled,,2023-07-20 10:33:29,2023-07-20 10:33:29,903502765
NSE:SUNPHARMA,Sell,Market,3,1 094.90,1 094.90,Filled,,2023-07-20 10:46:30,2023-07-20 10:46:30,903513658
NSE:SUNPHARMA,Sell,Take Profit,3,1 124.57,,Cancelled,,2023-07-20 09:35:53,2023-07-20 10:46:30,903456398
NSE:GAIL,Sell,Market,100,110.90,110.90,Filled,,2023-07-20 10:46:31,2023-07-20 10:46:31,903513665
NSE:GAIL,Sell,Take Profit,100,120.60,,Cancelled,,2023-07-20 09:35:40,2023-07-20 10:46:31,903456209
NSE:ONGC,Buy,Market,100,168.35,168.35,Filled,,2023-07-21 09:40:31,2023-07-21 09:40:31,904900730
NSE:SBILIFE,Buy,Market,10,1 317.00,1 317.00,Filled,,2023-07-21 09:40:54,2023-07-21 09:40:54,904901028
NSE:BRITANNIA,Sell,Market,1,5 076.05,5 076.05,Filled,,2023-07-21 09:41:21,2023-07-21 09:41:21,904901406
NSE:BRITANNIA,Buy,Market,1,5 077.65,5 077.65,Filled,,2023-07-21 09:41:26,2023-07-21 09:41:26,904901481
NSE:BRITANNIA,Buy,Market,5,5 077.85,5 077.85,Filled,,2023-07-21 09:41:34,2023-07-21 09:41:34,904901633
NSE:PEL,Buy,Market,20,985.75,985.75,Filled,,2023-07-21 09:42:02,2023-07-21 09:42:02,904902073
NSE:HAL,Buy,Market,20,3 872.95,3 872.95,Filled,,2023-07-21 09:42:26,2023-07-21 09:42:26,904902424
NSE:BRITANNIA,Sell,Market,5,5 035.20,5 035.20,Filled,,2023-07-21 13:42:37,2023-07-21 13:42:37,905127861
NSE:PEL,Sell,Market,20,996.25,996.25,Filled,,2023-07-21 13:42:38,2023-07-21 13:42:38,905127870
NSE:HAL,Sell,Market,20,3 866.15,3 866.15,Filled,,2023-07-21 13:42:39,2023-07-21 13:42:39,905127887
NSE:SBILIFE,Sell,Market,10,1 307.50,1 307.50,Filled,,2023-07-21 13:42:43,2023-07-21 13:42:44,905127962
NSE:ONGC,Sell,Market,100,169.15,169.15,Filled,,2023-07-21 13:43:00,2023-07-21 13:43:00,905128217
NSE:DIVISLAB,Sell,Market,1,3 728.00,3 728.00,Filled,,2023-07-25 09:56:54,2023-07-25 09:56:55,908713941
NSE:DIVISLAB,Buy,Market,20,3 729.00,3 729.00,Filled,,2023-07-25 09:57:04,2023-07-25 09:57:04,908714106
NSE:GAIL,Buy,Market,100,113.15,113.15,Filled,,2023-07-25 09:59:09,2023-07-25 09:59:09,908715948
NSE:ZYDUSLIFE,Buy,Market,20,619.90,619.90,Filled,,2023-07-25 09:59:19,2023-07-25 09:59:19,908716085
NSE:DIVISLAB,Sell,Take Profit,19,3 741.30,3 742.05,Filled,,2023-07-25 10:00:05,2023-07-25 10:19:13,908716688
NSE:GAIL,Sell,Market,100,115.10,115.10,Filled,,2023-07-25 12:47:35,2023-07-25 12:47:35,908867522
NSE:GAIL,Sell,Take Profit,100,117.65,,Cancelled,,2023-07-25 09:59:52,2023-07-25 12:47:35,908716519
NSE:ZYDUSLIFE,Sell,Market,20,623.25,623.25,Filled,,2023-07-25 12:47:35,2023-07-25 12:47:36,908867537
NSE:ZYDUSLIFE,Sell,Take Profit,20,627.70,,Cancelled,,2023-07-25 09:59:43,2023-07-25 12:47:36,908716402
NSE:LT,Buy,Market,1,2 663.00,2 663.00,Filled,,2023-07-26 09:50:26,2023-07-26 09:50:26,910120089
NSE:LT,Buy,Market,5,2 662.00,2 662.00,Filled,,2023-07-26 09:50:30,2023-07-26 09:50:30,910120166
NSE:GRASIM,Buy,Market,10,1 846.80,1 846.80,Filled,,2023-07-26 09:50:52,2023-07-26 09:50:52,910120462
NSE:ZOMATO,Buy,Market,200,83.85,83.85,Filled,,2023-07-26 09:51:17,2023-07-26 09:51:17,910120757
NSE:ZOMATO,Buy,Market,200,83.85,83.85,Filled,,2023-07-26 09:51:19,2023-07-26 09:51:19,910120791
NSE:BHARATFORG,Buy,Market,30,874.05,874.05,Filled,,2023-07-26 09:51:53,2023-07-26 09:51:53,910121264
NSE:BHARATFORG,Sell,Take Profit,30,880.50,880.85,Filled,,2023-07-26 09:52:20,2023-07-27 09:15:15,910121669
NSE:LT,Sell,Market,6,2 651.05,2 651.05,Filled,,2023-07-27 11:13:08,2023-07-27 11:13:08,911589253
NSE:LT,Sell,Take Profit,6,2 693.17,,Cancelled,,2023-07-26 09:52:44,2023-07-27 11:13:09,910122006
NSE:GRASIM,Sell,Market,10,1 826.05,1 826.05,Filled,,2023-07-27 11:13:13,2023-07-27 11:13:13,911589312
NSE:GRASIM,Sell,Take Profit,10,1 858.75,,Cancelled,,2023-07-26 09:52:37,2023-07-27 11:13:14,910121937
NSE:ZOMATO,Sell,Market,400,83.65,83.65,Filled,,2023-07-27 11:13:18,2023-07-27 11:13:18,911589362
NSE:ZOMATO,Sell,Take Profit,400,87.60,,Cancelled,,2023-07-26 09:52:29,2023-07-27 11:13:18,910121814
NSE:SIEMENS,Buy,Market,10,3 780.95,3 780.95,Filled,,2023-07-27 11:16:08,2023-07-27 11:16:09,911591909
NSE:UBL,Sell,Market,1,1 535.00,1 535.00,Filled,,2023-07-27 11:16:48,2023-07-27 11:16:48,911592713
NSE:UBL,Buy,Market,30,1 535.15,1 535.15,Filled,,2023-07-27 11:16:55,2023-07-27 11:16:55,911592822
NSE:UBL,Sell,Market,29,1 559.25,1 559.25,Filled,,2023-07-28 10:18:26,2023-07-28 10:18:26,913032013
NSE:APOLLOHOSP,Buy,Market,5,5 244.00,5 244.00,Filled,,2023-07-28 10:22:00,2023-07-28 10:22:00,913034991
NSE:BEL,Buy,Market,10,129.10,129.10,Filled,,2023-07-28 10:22:51,2023-07-28 10:22:51,913035776
NSE:BEL,Buy,Market,10,129.10,129.10,Filled,,2023-07-28 10:22:52,2023-07-28 10:22:52,913035802
NSE:BEL,Buy,Market,10,129.10,129.10,Filled,,2023-07-28 10:22:55,2023-07-28 10:22:55,913035835
NSE:ABB,Buy,Market,10,4 495.10,4 495.10,Filled,,2023-07-28 10:23:13,2023-07-28 10:23:13,913036071
NSE:SIEMENS,Sell,Market,10,3 754.55,3 754.55,Filled,,2023-07-28 10:23:53,2023-07-28 10:23:53,913036622
NSE:CUMMINSIND,Buy,Market,32,1 951.55,1 951.55,Filled,,2023-07-28 11:03:47,2023-07-28 11:03:47,913068790